slide,cell_type,cell_count
Slide1,Antibody-secreting B cells,754
Slide1,CD3 alpha-beta T cells,2874
Slide1,Central venous LSECs,4167
Slide1,Cholangiocytes,1336
Slide1,Gamma-delta T cells,502
Slide1,Hepatocytes,4860
Slide1,Inflammatory macrophages,1543
Slide1,Mature B cells,434
Slide1,NK-like cells,873
Slide1,Non-inflammatory macrophages,2980
Slide1,Periportal LSECs,1370
Slide1,Portal endothelial cells,285
Slide1,Stellate cells,3559
Slide2,Antibody-secreting B cells,855
Slide2,CD3 alpha-beta T cells,4475
Slide2,Central venous LSECs,3382
Slide2,Cholangiocytes,2412
Slide2,Gamma-delta T cells,370
Slide2,Hepatocytes,3649
Slide2,Inflammatory macrophages,2390
Slide2,Mature B cells,429
Slide2,NK-like cells,628
Slide2,Non-inflammatory macrophages,2504
Slide2,Periportal LSECs,1940
Slide2,Portal endothelial cells,373
Slide2,Stellate cells,4136
